subid	A	B
1	bridges	lighthouses
1	fields	parks
1	waterfalls	mountains
2	canyons	mountains
2	deserts	parks
2	marshes	waterfalls
3	parks	mountains
3	bridges	fields
3	forests	beaches
4	lakes	parks
4	fields	forests
4	bridges	deserts
5	waterfalls	marshes
5	lakes	bridges
5	mountains	beaches
6	marshes	waterfalls
6	parks	lighthouses
6	forests	deserts
7	forests	bridges
7	parks	lakes
7	lighthouses	fields
8	lighthouses	marshes
8	lakes	canyons
8	beaches	bridges
10	fields	canyons
10	lighthouses	marshes
10	mountains	beaches
13	fields	mountains
13	waterfalls	deserts
13	forests	lakes
14	fields	marshes
14	bridges	canyons
14	waterfalls	forests
15	lakes	lighthouses
15	mountains	canyons
15	deserts	bridges
16	forests	deserts
16	bridges	fields
16	canyons	lighthouses
17	marshes	deserts
17	fields	parks
17	canyons	waterfalls
19	mountains	forests
19	bridges	beaches
19	lakes	canyons
20	parks	fields
20	deserts	mountains
20	beaches	bridges
21	deserts	lighthouses
21	beaches	parks
21	marshes	mountains
23	canyons	marshes
23	parks	fields
23	lighthouses	lakes
24	lakes	forests
24	beaches	parks
24	waterfalls	marshes
25	parks	lakes
25	bridges	fields
25	beaches	marshes
26	marshes	fields
26	canyons	lakes
26	waterfalls	forests
27	mountains	waterfalls
27	marshes	deserts
27	forests	bridges
28	lighthouses	parks
28	canyons	fields
28	mountains	marshes
29	parks	beaches
29	mountains	lakes
29	deserts	forests
30	deserts	bridges
30	parks	beaches
30	lighthouses	waterfalls
31	waterfalls	forests
31	marshes	bridges
31	lakes	beaches
32	fields	parks
32	deserts	marshes
32	beaches	lighthouses
33	waterfalls	mountains
33	canyons	parks
33	beaches	deserts
34	fields	canyons
34	bridges	lighthouses
34	lakes	deserts
36	lighthouses	mountains
36	fields	canyons
36	forests	waterfalls
37	waterfalls	bridges
37	marshes	parks
37	deserts	canyons
38	lighthouses	lakes
38	marshes	beaches
38	bridges	mountains
39	lighthouses	canyons
39	waterfalls	bridges
39	marshes	deserts
40	parks	waterfalls
40	beaches	bridges
40	fields	canyons
41	beaches	fields
41	lakes	forests
41	mountains	deserts
42	waterfalls	lakes
42	parks	mountains
42	canyons	deserts
43	lighthouses	forests
43	lakes	beaches
43	deserts	marshes
44	bridges	parks
44	lakes	beaches
44	canyons	forests
45	fields	lakes
45	deserts	waterfalls
45	beaches	parks
46	parks	lighthouses
46	mountains	fields
46	forests	marshes
47	fields	lighthouses
47	forests	marshes
47	mountains	waterfalls
48	forests	mountains
48	bridges	fields
48	canyons	lighthouses
49	waterfalls	deserts
49	fields	lakes
49	beaches	parks
50	lighthouses	bridges
50	waterfalls	parks
50	canyons	deserts
51	waterfalls	bridges
51	marshes	deserts
51	fields	canyons
52	mountains	lighthouses
52	lakes	parks
52	deserts	fields
53	parks	bridges
53	fields	lighthouses
53	lakes	waterfalls
54	bridges	lighthouses
54	deserts	canyons
54	lakes	fields
55	parks	mountains
55	marshes	forests
55	canyons	lakes
56	marshes	fields
56	forests	mountains
56	bridges	beaches
57	parks	beaches
57	forests	mountains
57	canyons	marshes
58	lighthouses	waterfalls
58	beaches	lakes
58	forests	canyons
59	beaches	marshes
59	mountains	forests
59	lighthouses	waterfalls
60	bridges	marshes
60	mountains	beaches
60	deserts	forests
61	parks	beaches
61	lighthouses	lakes
61	canyons	mountains
62	fields	lakes
62	lighthouses	forests
62	mountains	canyons
63	parks	marshes
63	bridges	deserts
63	forests	canyons
64	fields	canyons
64	mountains	marshes
64	parks	deserts
65	deserts	forests
65	canyons	parks
65	bridges	beaches
66	lakes	beaches
66	bridges	waterfalls
66	forests	lighthouses
67	mountains	lighthouses
67	lakes	fields
67	canyons	deserts
68	waterfalls	bridges
68	marshes	fields
68	lighthouses	lakes
69	fields	forests
69	lakes	bridges
69	waterfalls	mountains
71	marshes	waterfalls
71	deserts	lighthouses
71	beaches	parks
72	beaches	parks
72	waterfalls	mountains
72	forests	marshes
73	marshes	lighthouses
73	canyons	lakes
73	parks	bridges
74	lakes	lighthouses
74	bridges	fields
74	parks	mountains
75	forests	marshes
75	lighthouses	beaches
75	fields	bridges
76	lighthouses	canyons
76	beaches	marshes
76	lakes	bridges
77	marshes	lakes
77	lighthouses	deserts
77	mountains	forests
78	mountains	deserts
78	waterfalls	fields
78	lakes	lighthouses
79	marshes	deserts
79	fields	waterfalls
79	parks	forests
80	fields	parks
80	beaches	waterfalls
80	canyons	forests
81	waterfalls	mountains
81	deserts	fields
81	forests	parks
82	beaches	lakes
82	canyons	waterfalls
82	deserts	parks
83	mountains	marshes
83	bridges	canyons
83	waterfalls	beaches
84	forests	mountains
84	bridges	beaches
84	deserts	canyons
85	bridges	mountains
85	lighthouses	fields
85	parks	deserts
86	lakes	fields
86	waterfalls	beaches
86	mountains	deserts
87	mountains	deserts
87	marshes	forests
87	canyons	lakes
88	canyons	forests
88	fields	lighthouses
88	parks	lakes
89	bridges	waterfalls
89	deserts	forests
89	beaches	parks
90	mountains	marshes
90	beaches	parks
90	canyons	waterfalls
91	bridges	fields
91	lakes	mountains
91	marshes	beaches
92	fields	marshes
92	lakes	bridges
92	beaches	lighthouses
93	parks	bridges
93	lighthouses	mountains
93	waterfalls	canyons
94	fields	lighthouses
94	forests	lakes
94	marshes	parks
95	forests	marshes
95	waterfalls	canyons
95	deserts	beaches
96	deserts	waterfalls
96	forests	bridges
96	lighthouses	canyons
98	marshes	forests
98	lakes	mountains
98	canyons	deserts
100	forests	canyons
100	fields	mountains
100	parks	bridges
101	forests	mountains
101	beaches	deserts
101	parks	marshes
103	lakes	lighthouses
103	beaches	fields
103	deserts	waterfalls
104	beaches	parks
104	mountains	fields
104	waterfalls	bridges
105	waterfalls	lakes
105	deserts	marshes
105	mountains	parks
106	waterfalls	lakes
106	lighthouses	beaches
106	bridges	canyons
