subID,B_prediction,B_prediction_z
2,0.4047619047619047,-1.26347761
3,0.4761904761904762,-0.258182555
4,0.5,0
5,0.6212121212121212,1.2528302670193114
7,0.5238095238095238,0.2408880977836327
8,0.4761904761904762,-0.474667829
10,0.5,-0.597043946
13,0.5238095238095238,0.42314098172861025
14,0.6190476190476191,1.4859623811355704
15,0.6428571428571429,1.7913278026713348
17,0.46428571428571425,-0.223823267
20,0.5,0.028510598
21,0.5476190476190476,1.0279040973378288
23,0.5,0.011963189795655598
24,0.5714285714285714,1.3611743818311584
28,0.4761904761904762,-0.280094795
29,0.4047619047619047,-1.215959671
30,0.4444444444444445,-0.883458762
31,0.4523809523809524,-0.831675428
32,0.3333333333333333,-1.991472774
33,0.5952380952380952,1.1821224613451369
34,0.5238095238095238,0.6253448997248604
36,0.6428571428571429,1.7395888732891023
37,0.5952380952380952,1.2256879953234703
38,0.5952380952380952,1.1768876710223866
39,0.6904761904761904,2.289426387654544
40,0.4761904761904762,-0.324991315
41,0.6428571428571429,1.614783767849712
42,0.5,-0.020349887
43,0.5238095238095238,0.4491845745662741
44,0.5238095238095238,0.5221409321224402
45,0.5,0.001431725
46,0.5,-0.073083436
47,0.5714285714285714,1.274362703129764
48,0.4743589743589744,-0.468237986
49,0.4761904761904762,-0.376352688
50,0.5238095238095238,0.37632588033792636
51,0.4945054945054945,-0.129600156
52,0.5714285714285715,0.9268757559438096
53,0.4047619047619047,-1.194247461
54,0.4523809523809524,-0.654637636
55,0.4761904761904761,-0.462407251
56,0.5238095238095238,0.26713187855868636
57,0.5,0.03443193
58,0.4761904761904762,-0.436941957
59,0.4761904761904762,-0.311053472
60,0.5952380952380952,1.6387088653333783
61,0.4249084249084249,-1.134508594
62,0.5238095238095238,0.5438475971238655
63,0.4761904761904762,-0.345496439
64,0.4761904761904762,-0.463919773
65,0.35714285714285715,-1.757514508
66,0.4761904761904762,-0.288311483
68,0.5238095238095238,0.28213220721757576
69,0.5476190476190477,0.8236906625382436
71,0.5,0.028773279193906192
72,0.38095238095238093,-2.17913366
73,0.4761904761904762,-0.2795392
74,0.4047619047619048,-1.118645637
75,0.5238095238095238,0.5285855691955379
76,0.5476190476190476,0.5330194458529285
77,0.5238095238095237,0.2739287771084182
78,0.4285714285714286,-0.848271711
79,0.5,-0.042001869
80,0.5238095238095238,0.2691848176120075
81,0.38095238095238093,-2.542681621
82,0.5,-0.023182029
83,0.4761904761904762,-0.227825655
84,0.4523809523809524,-0.602887445
85,0.5238095238095238,0.4387312687162196
86,0.5,-0.044298119
87,0.4523809523809524,-0.619365437
88,0.4423076923076923,-1.773031533
89,0.5238095238095238,0.47530227070198605
90,0.4047619047619047,-1.114070477
91,0.5,0.011305991943720761
92,0.3956043956043956,-1.142685335
93,0.5238095238095238,0.5119206886217605
94,0.5238095238095238,0.49665702604901724
95,0.5476190476190476,0.6735835967809152
96,0.5,0.019700211121727405
98,0.5,-0.038401094
100,0.5238095238095238,1.1104590401072605
101,0.4523809523809524,-0.64023663
103,0.5,-0.291012112
104,0.5274725274725275,0.16115851860328087
105,0.5238095238095237,0.292515402
106,0.5769230769230769,0.9297867998089767