StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,EXP_ID,src_subject_id,Survey_check,panas_ex_1,panas_ex_2,panas_ex_3,panas_ex_4,panas_ex_5,panas_ex_6,panas_ex_7,panas_ex_8,panas_ex_9,panas_ex_10,panas_ex_11,panas_ex_12,panas_ex_13,panas_ex_14,panas_ex_15,panas_ex_16,panas_ex_17,panas_ex_18,panas_ex_19,panas_ex_20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your (experimenter) net ID?,What is their subject ID?,Is this before SECPT?,PANAS1 - Interested,PANAS1 - Distressed,PANAS1 - Excited,PANAS1 - Upset,PANAS1 - Strong,PANAS1 - Guilty,PANAS1 - Scared,PANAS1 - Hostile,PANAS1 - Enthusiastic,PANAS1 - Proud,PANAS1 - Irritable,PANAS1 - Alert,PANAS1 - Ashamed,PANAS1 - Inspired,PANAS1 - Nervous,PANAS1 - Determined,PANAS1 - Attentive,PANAS1 - Jittery,PANAS1 - Active,PANAS1 - Afraid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID89""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID95_11""}","{""ImportId"":""QID95_12""}","{""ImportId"":""QID95_13""}","{""ImportId"":""QID95_14""}","{""ImportId"":""QID95_15""}","{""ImportId"":""QID95_16""}","{""ImportId"":""QID95_17""}","{""ImportId"":""QID95_18""}","{""ImportId"":""QID95_19""}","{""ImportId"":""QID95_20""}"
3/2/23 10:05,3/2/23 10:43,IP Address,130.132.173.99,100,2301,TRUE,3/2/23 10:43,R_2SxaASWhFWt8K8o,,,,,41.3186,-72.9302,anonymous,EN,yh649,s1,Yes,19,,,,,,,,,,,,,,,,,,,
3/7/23 13:44,3/7/23 13:52,IP Address,130.132.173.214,100,460,TRUE,3/7/23 13:52,R_aVJaEVh9XGIXxBv,,,,,41.3186,-72.9302,anonymous,EN,yh649,s2,Yes,43,12,18,10,,,,,32,34,36,31,16,41,18,41,37,7,45,12
3/15/23 9:58,3/15/23 10:47,IP Address,128.36.7.250,100,2962,TRUE,3/15/23 10:47,R_0HCXNuMn21zJKJX,,,,,41.3186,-72.9302,anonymous,EN,yh649,s3,Yes,35,,,,,,,,8,,,8,,,,,44,,17,
3/23/23 12:59,3/23/23 13:01,IP Address,130.132.173.214,100,93,TRUE,3/23/23 13:01,R_2feTrzG3MfcfFH7,,,,,41.3186,-72.9302,anonymous,EN,yh649,s4,Yes,45,37,54,,61,,,13,,22,36,29,,31,15,51,65,,29,
3/24/23 11:12,3/24/23 11:35,IP Address,130.132.173.96,100,1417,TRUE,3/24/23 11:35,R_1EWf07BD614qMkl,,,,,41.3186,-72.9302,anonymous,EN,iz42,s5,Yes,2,8,15,1,11,9,1,1,7,47,19,32,6,1,19,31,31,13,26,1
3/28/23 12:53,3/28/23 12:58,IP Address,130.132.173.54,100,326,TRUE,3/28/23 12:58,R_3n74gwXBwqtugXG,,,,,41.3186,-72.9302,anonymous,EN,ih228,s6,Yes,66,,50,,43,,,,48,50,,72,,53,,,69,13,53,
3/31/23 10:28,3/31/23 10:33,IP Address,130.132.173.29,100,296,TRUE,3/31/23 10:33,R_A7hO7YGkQQM9GzD,,,,,41.3186,-72.9302,anonymous,EN,yh649,s7,Yes,73,,41,,43,4,,,43,56,,21,9,33,,34,21,,18,
4/4/23 13:11,4/4/23 13:14,IP Address,130.132.173.29,100,190,TRUE,4/4/23 13:14,R_wMfcoaVfWcA5gM9,,,,,41.3186,-72.9302,anonymous,EN,yh649,s8,Yes,30,0,16,0,35,0,0,0,17,15,5,18,0,18,0,15,24,5,15,1
4/6/23 11:31,4/6/23 11:34,IP Address,130.132.173.29,100,215,TRUE,4/6/23 11:34,R_3KopuARJrzVzb1a,,,,,41.3186,-72.9302,anonymous,EN,yh649,s9,Yes,39,28,5,16,64,,23,7,3,47,11,42,,28,16,53,33,6,15,21
4/14/23 12:31,4/14/23 13:30,IP Address,130.132.173.54,100,3512,TRUE,4/14/23 13:30,R_1Fg0EdT5t79yF75,,,,,41.3186,-72.9302,anonymous,EN,ih228,s10,Yes,100,50,100,,100,,,,100,99,,,,100,,100,59,26,100,
4/20/23 10:34,4/20/23 11:24,IP Address,130.132.173.99,100,2971,TRUE,4/20/23 11:24,R_3JfI5vLwVPLlOXu,,,,,41.3186,-72.9302,anonymous,EN,iz42,s11,Yes,79,41,83,17,78,,,,75,85,9,43,,75,,84,78,6,79,
5/1/23 11:29,5/1/23 11:44,IP Address,130.132.173.54,100,859,TRUE,5/1/23 11:44,R_31zRw5a6fRM3wGg,,,,,41.3186,-72.9302,anonymous,EN,ih228,s12,Yes,9,8,7,16,4,3,3,3,6,6,14,3,,3,2,4,4,,,
5/2/23 10:24,5/2/23 10:30,IP Address,130.132.173.74,100,347,TRUE,5/2/23 10:30,R_1dgVwkQSATbHKbI,,,,,41.3186,-72.9302,anonymous,EN,yh649,s13,Yes,70,10,62,11,46,4,2,1,62,16,20,40,8,32,3,25,33,15,16,1
5/3/23 12:43,5/3/23 14:03,IP Address,128.36.7.19,100,4806,TRUE,5/3/23 14:03,R_2VgrAq3aBP6tKxx,,,,,41.3186,-72.9302,anonymous,EN,iz42,s14,Yes,94,,35,,,,,,,50,,85,,61,,76,88,,,
5/4/23 10:32,5/4/23 10:35,IP Address,130.132.173.74,100,203,TRUE,5/4/23 10:35,R_25YENRW3v5Fkfaw,,,,,41.3186,-72.9302,anonymous,EN,yh649,s15,Yes,30,,,,,,,,,,,80,,,,,80,,20,
5/9/23 9:33,5/9/23 11:25,IP Address,130.132.173.54,100,6739,TRUE,5/9/23 11:25,R_1mxT9MOZxFtCgNM,,,,,41.3186,-72.9302,anonymous,EN,ih228,s16,Yes,79,10,51,5,48,3,1,3,43,64,3,25,5,21,2,68,49,5,13,2
5/10/23 10:49,5/10/23 11:02,IP Address,130.132.173.99,100,812,TRUE,5/10/23 11:02,R_2CE4Y1Yd8aSqaSn,,,,,41.3186,-72.9302,anonymous,EN,iz42,s17,Yes,50,17,16,15,51,16,30,16,31,32,20,50,18,30,50,50,51,30,52,52
5/13/23 9:19,5/13/23 11:16,IP Address,130.132.173.99,100,7043,TRUE,5/13/23 11:16,R_33vBvV5jrm0wzlp,,,,,41.3186,-72.9302,anonymous,EN,iz42,s18,Yes,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
5/17/23 10:16,5/17/23 10:44,IP Address,130.132.173.99,100,1675,TRUE,5/17/23 10:44,R_2ccNjUtDSBG2SOd,,,,,41.3186,-72.9302,anonymous,EN,iz42,s19,Yes,60,71,62,58,68,36,13,40,49,76,49,80,22,68,19,79,91,67,66,18
6/6/23 10:08,6/6/23 10:09,IP Address,130.132.173.109,60,51,FALSE,6/13/23 10:09,R_1Kg2hVGO24ahh0O,,,,,,,anonymous,EN,iz42,s9999(test),Yes,,,,,,,,,,,,,,,,,,,,
6/14/23 9:23,6/14/23 10:23,IP Address,130.132.173.99,100,3639,TRUE,6/14/23 10:24,R_2dzsy82YG7inko3,,,,,41.3186,-72.9302,anonymous,EN,iz42,s20,Yes,89,9,83,8,90,5,5,2,80,87,10,76,3,89,3,87,73,3,87,5
6/15/23 10:50,6/15/23 10:55,IP Address,130.132.173.99,100,265,TRUE,6/15/23 10:55,R_Zh1VObkQXBPpozv,,,,,41.3186,-72.9302,anonymous,EN,iz42,s21,Yes,55,22,41,28,40,25,15,14,43,42,25,27,24,26,18,26,38,31,32,16
6/17/23 10:19,6/17/23 10:26,IP Address,130.132.173.99,100,419,TRUE,6/17/23 10:26,R_2ARwdWL6H0vVN7v,,,,,41.3186,-72.9302,anonymous,EN,iz42,s23,Yes,40,0,40,0,0,0,0,0,10,20,0,0,0,10,0,0,40,0,0,0
6/17/23 12:39,6/17/23 12:48,IP Address,130.132.173.99,100,555,TRUE,6/17/23 12:48,R_2WZN4X0OCp1wIeP,,,,,41.3186,-72.9302,anonymous,EN,iz42,s24,Yes,5,10,5,1,5,1,5,1,10,15,1,20,1,20,15,25,50,30,20,5
7/12/23 10:33,7/12/23 10:39,IP Address,130.132.173.99,100,349,TRUE,7/12/23 10:39,R_5aTrmh6mJID9I3L,,,,,41.3186,-72.9302,anonymous,EN,iz42,s25,Yes,71,15,65,4,80,0,32,1,65,77,10,88,0,47,73,83,72,54,52,34
7/12/23 12:13,7/12/23 12:47,IP Address,130.132.173.99,100,2052,TRUE,7/12/23 12:47,R_3D1O2WG2PatOAhR,,,,,41.3186,-72.9302,anonymous,EN,iz42,s26,Yes,53,1,8,0,0,0,0,0,28,25,40,88,0,9,0,13,100,0,33,0
7/14/23 11:11,7/14/23 11:25,IP Address,130.132.173.229,100,835,TRUE,7/14/23 11:25,R_2wNNT6hoV6FUfRf,,,,,41.3186,-72.9302,anonymous,EN,mcl68,s27,Yes,70,1,50,1,50,1,1,1,49,100,1,80,1,100,1,100,80,20,50,1
7/18/23 11:06,7/18/23 11:40,IP Address,130.132.173.229,100,2072,TRUE,7/18/23 11:40,R_1QyWtZsI5pIVwGF,,,,,41.3186,-72.9302,anonymous,EN,mcl68,s28,Yes,55,2,49,2,2,2,2,1,2,2,2,8,2,2,3,3,9,23,26,2
8/1/23 10:32,8/1/23 10:39,IP Address,130.132.173.229,100,398,TRUE,8/1/23 10:39,R_w5h6jepIAjSMN9f,,,,,41.3186,-72.9302,anonymous,EN,mcl68,s29,Yes,39,28,34,15,22,0,0,0,0,0,21,38,0,0,11,0,0,0,10,0
8/2/23 11:06,8/2/23 11:27,IP Address,130.132.173.99,100,1219,TRUE,8/2/23 11:27,R_3Ey7xjNaunCywM6,,,,,41.3186,-72.9302,anonymous,EN,iz42,s30,Yes,85,0,0,0,0,0,0,0,6,0,0,10,0,10,0,0,0,0,0,0
8/15/23 10:14,8/15/23 10:32,IP Address,130.132.173.99,100,1063,TRUE,8/15/23 10:32,R_3Dzgg3kT3QTASLT,,,,,41.3186,-72.9302,anonymous,EN,iz42,s31,Yes,43,5,12,2,14,22,2,3,3,14,9,14,1,2,17,2,11,6,11,1
8/16/23 9:54,8/16/23 10:20,IP Address,130.132.173.99,100,1555,TRUE,8/16/23 10:20,R_3Jz8Fadv8tDypxW,,,,,41.3186,-72.9302,anonymous,EN,iz42,s32,Yes,30,0,20,0,0,0,0,0,20,10,0,20,0,40,0,20,20,0,10,0
8/18/23 11:12,8/18/23 11:20,IP Address,128.36.7.238,100,496,TRUE,8/18/23 11:20,R_XNbRxtvGBku1ij7,,,,,41.3186,-72.9302,anonymous,EN,iz42,s33,Yes,50,2,15,2,30,1,2,5,15,31,9,61,1,43,2,43,49,20,60,5
8/22/23 14:44,8/22/23 14:50,IP Address,130.132.173.230,100,318,TRUE,8/22/23 14:50,R_3PhMvwHEfuKjtgY,,,,,41.3186,-72.9302,anonymous,EN,iz42,s34,Yes,45,29,26,4,5,17,6,4,21,8,5,11,7,7,7,17,22,7,10,5
9/11/23 10:28,9/11/23 10:37,IP Address,130.132.173.19,100,537,TRUE,9/11/23 10:37,R_1OiyOg33wFHEAwY,,,,,41.3186,-72.9302,anonymous,EN,iz42,s35,Yes,100,0,100,1,100,1,1,1,100,100,1,100,1,100,1,100,1,1,100,0
9/19/23 9:50,9/19/23 10:34,IP Address,130.132.173.191,100,2591,TRUE,9/19/23 10:34,R_1mkJLxqHnSbpzhF,,,,,41.3186,-72.9302,anonymous,EN,egw26,s36,Yes,71,0,50,0,0,0,0,0,30,0,0,61,0,0,0,0,63,0,0,0
9/20/23 9:35,9/20/23 10:48,IP Address,130.132.173.19,100,4402,TRUE,9/20/23 10:48,R_Dc1H1U8jN26tI3v,,,,,41.3186,-72.9302,anonymous,EN,iz42,s37,Yes,50,40,16,29,14,6,29,0,30,5,19,35,29,5,50,25,35,0,6,30
9/27/23 8:48,9/27/23 10:52,IP Address,130.132.173.90,100,7433,TRUE,9/27/23 10:52,R_1kMpq8NmHiKGjLz,,,,,41.3186,-72.9302,anonymous,EN,zb99,s38,Yes,90,0,45,0,0,0,0,0,40,0,0,29,0,30,0,0,15,0,30,0
9/28/23 10:25,9/28/23 10:28,IP Address,130.132.173.134,100,199,TRUE,9/28/23 10:28,R_1IYoSJD4SynHAe8,,,,,41.3186,-72.9302,anonymous,EN,iz42,s39,Yes,100,1,99,1,47,1,1,1,100,52,1,98,1,99,1,99,99,1,100,1
10/4/23 9:07,10/4/23 9:55,IP Address,130.132.173.36,100,2885,TRUE,10/4/23 9:55,R_2f3BPKXfBWdiQOA,,,,,41.3186,-72.9302,anonymous,EN,iz42,s40,Yes,70,1,6,1,1,1,1,1,22,1,1,70,1,1,1,1,68,1,1,1
10/6/23 10:24,10/6/23 10:41,IP Address,130.132.173.36,100,999,TRUE,10/6/23 10:41,R_1FKaSsxyMlm2bfs,,,,,41.3186,-72.9302,anonymous,EN,iz42,s41,Yes,48,0,24,0,90,0,23,0,29,81,0,76,0,0,82,87,92,88,0,33
10/6/23 9:39,10/6/23 13:02,IP Address,130.132.173.191,100,12214,TRUE,10/6/23 13:02,R_3Mfipnvz8zLmoMW,,,,,41.3186,-72.9302,anonymous,EN,egw26,s42,Yes,89,1,43,1,50,1,1,1,1,1,1,52,1,30,1,1,50,1,50,1
10/13/23 10:13,10/13/23 10:36,IP Address,130.132.173.215,100,1384,TRUE,10/13/23 10:36,R_2VJGjWcsv4AJXEw,,,,,41.3186,-72.9302,anonymous,EN,iz42,s43,Yes,100,0,100,0,100,0,0,0,100,100,0,100,0,100,3,100,100,0,100,0
10/16/23 9:29,10/16/23 13:38,IP Address,130.132.173.200,100,14946,TRUE,10/16/23 13:38,R_eUKFXlQyqGd0Iw1,,,,,41.3186,-72.9302,anonymous,EN,egw26,s44,Yes,70,1,38,1,21,1,1,1,24,1,1,22,1,40,1,22,2,21,1,1
10/18/23 8:46,10/18/23 10:16,IP Address,130.132.173.209,100,5380,TRUE,10/18/23 10:16,R_2YzSngx2Xet5zLK,,,,,41.3186,-72.9302,anonymous,EN,zb99,s45,Yes,80,1,67,2,37,1,5,1,36,1,1,3,1,38,42,1,76,1,78,2
